article_id,parent_id,child_id,title,url,chunk_token_count,question_count,dash_question_count,possible_internal_duplicate,questions,chunk_text
doc_0001,doc_0001_parent_002,doc_0001_parent_002_child_001,Angelman Sendromu,https://www.memorial.com.tr/hastaliklar/angelman-sendromu-nedir-belirtileri-nelerdir,302,5,0,False,"['Angelman sendromu genetik bir hastalık mıdır?', 'Angelman sendromu daha çok anneden mi babadan mı kaynaklanır?', 'Angelman sendromu sadece doğuştan gelen bir hastalık mıdır, yoksa sonradan oluşur mu?', 'Angelman sendromu taşıyıcı kadın ya da erkek anne baba olabilir mi?', 'Angelman sendromu nasıl önlenir?']","Angelman sendromu genetik bir hastalık mıdır? Angelman sendromu genetik geçişli bir hastalıktır. Angelman sendromdan sorumlu UBE3A geni 15q11-q13 bölgesinde yer alır. Angelman sendromu daha çok anneden mi babadan mı kaynaklanır? Olguların büyük kısmında anneden ya da babadan aktarılması beklenmemektedir. Angelman sendromu sadece doğuştan gelen bir hastalık mıdır, yoksa sonradan oluşur mu? Angelman sendromunun klinik bulguları yenidoğan döneminde hemen ortaya çıkmasa da genetik olarak doğuştan gelen bir hastalık olduğu bilinmektedir. Bu nedenle hastalığın sonradan ortaya çıkmadığı görülmektedir. Angelman sendromu taşıyıcı kadın ya da erkek anne baba olabilir mi? Angelman sendromunda nadir durumlarda taşıyıcılık söz konusu olabilir. Bu durumda erkek ya da kadın için taşıyıcı olma riski eşittir. Angelman sendromu nasıl önlenir? Angelman sendromunun olgulardaki tekrarlama riski %1’in altındadır. Daha önce genetik anomali bildirilmiş aileler prenatal tanı seçenekleri ile test yaptırabilirler. Ailesel olma ihtimali daha yüksek olan durumlarda (içeren kromozomal anomali/yeniden düzenlemeler, imprinting defektlerinde ve UBE3A nokta mutasyonu) preimplantasyon genetik tanı- moleküler (PGT-M) ile genetik seçilimli tüp bebek tedavisi ile Angelman sendromu önlenebilir."
doc_0002,doc_0002_parent_002,doc_0002_parent_002_child_001,Anensefali Nedir? Anensefali Neden Olur?,https://www.memorial.com.tr/saglik-rehberi/anensefali,216,3,0,False,"['Manyetik rezonans görüntüleme (MR): Anensefali Nasıl Tedavi Edilir?', 'Anensefali Hakkında Sık Sorulan Sorular Anensefali ne zaman belli olur?', 'Anensefali bebek ne kadar yaşar?']","Ultrason: Manyetik rezonans görüntüleme (MR): Beyni ve omurgayı daha ayrıntılı görmek için doktor MR görüntüleme testini isteyebilir. MR , doku ve kemiklerin görüntülerini üretmek için yüksek güçlü mıknatıslardan yararlanır. Manyetik rezonans görüntüleme (MR): Anensefali Nasıl Tedavi Edilir? Anensefali için önlenebilir ya da mevcut bir tedavi bulunmamaktadır. Anensefaliye sahip olan bebeklerin bir çoğunluğu ya anne karnında ya da doğduktan birkaç saat sonra yaşamanı yitirir. Anensefali Hakkında Sık Sorulan Sorular Anensefali ne zaman belli olur? Anasefali hastalığı ilk olarak 8.haftada görülebilir. Bulgular gözlemlenir ve testler yapılarak 12-14.haftalarda anensefali tanısı konulabilir. Anensefali bebek ne kadar yaşar? Anensefali hastası bebekler genellikle doğumdan birkaç saat ya da gün sonra beyin gelişimi olmadığından yaşamlarını yitirirler."
doc_0003,doc_0003_parent_002,doc_0003_parent_002_child_001,Bademcik Ameliyatı Nedir? Ameliyat Sonrası Beslenme Nasıl Olmalı?,https://www.memorial.com.tr/tedavi-yontemleri/bademcik-ameliyati,289,5,0,False,"['Bademcik ameliyatı kaç günde iyileşir?', 'Bademcik ameliyatında dikiş var mı?', 'Bademcik ameliyatı sonrası küçük dil şişer mi?', 'Bademcik ameliyatı için yaş sınırı nedir?', 'Bademcik ameliyatı ağrılı mıdır?']","Bademcik ameliyatı kaç günde iyileşir? Bademcik ameliyatından sonraki ilk on günden sonra hastalar çoğunlukla normal yaşantısına dönebilmektedir. Genel iyileşme süresi, geçirdiğiniz operasyonun tipi, vücudunuzun iyileşme kapasitesi ve herhangi bir komplikasyon yaşayıp yaşamadığınız gibi çeşitli faktörlere bağlı olarak değişebilmektedir. Bademcik ameliyatında dikiş var mı? Bademcik ameliyatlarında çoğunlukla dikiş kullanılmaz. Nadiren bademcik dokularının çıkarıldığı alanlara kanama kontrolü amacı ile 1-2 dikiş atılabilir. Bu dikişler dışardan fark edilmez ve hastaya ekstra bir rahatsızlık vermez. Bademcik ameliyatı sonrası küçük dil şişer mi? Bademcik ameliyatlarından sonra küçük dilde çoğunlukla önemli olmayan derecelerde şişme (ödem) meydana gelebilir. Bademcik ameliyatı için yaş sınırı nedir? Bademcik ameliyatı için kesin bir yaş sınırı yoktur. Gerekli görülen durumlarda tüm yaş gruplarında bademcik ameliyatları yapılabilir. Ancak genel kabul gören uygulama 3 yaş sonrası olgularda bademcik operasyonu yapılmasıdır. Bademcik ameliyatı ağrılı mıdır? Bademcik ameliyatından sonra değişik seviyelerde ağrı hissedilebilir. Genel olarak, yetişkinler için iyileşme süreci çocuklardan daha zor ve ağrılı geçer. Ağrı gün geçtikçe azalır ve 10."
doc_0004,doc_0004_parent_002,doc_0004_parent_002_child_001,Renkli Ultrason Nedir?,https://www.memorial.com.tr/teknolojiler/renkli-ultrason-nedir,307,3,1,False,"['Renkli ultrason öncesinde nasıl bir hazırlık yapılır?', 'Renkli ultrason radyasyon yayar mı?', 'Renkli ultrason gebeler için gerekli mi?']","Renkli ultrason yapılması için herhangi bir zaman sınırı sınırlaması yoktur. İnsan vücuduna zarar veren radyasyon olmaması nedeni ile sıklık için herhangi bir sınırlama getirilmemiştir. Gereken herhangi bir zamanda tanı koymak amacı ile renkli ultrason yapılabilir. Renkli ultrason öncesinde nasıl bir hazırlık yapılır? Renkli ultrason öncesinde herhangi bir özel hazırlık yapılmasına gerek yoktur. Herhangi bir ultrasonografi tetkikte yapılması gereken hazırlıklardan bir farkı da bulunmamaktadır. - Vücudun test edilen bölgesindeki giysi ve takıları çıkartılmalıdır. - Testten 2 saat öncesine kadar sigara ve nikotin içeren ürünler kullanılmamalıdır. Çünkü nikotin kan damarlarının daralmasına neden olabilmektedir. - Bazı bölgelere yapılacak renkli ultrason için birkaç saat öncesinde başlayacak açlık istenebilmektedir. Renkli ultrason radyasyon yayar mı? Renkli ultrason gebeler için yapılan ultrasonografiden farklı olmadığından herhangi bir radyasyon yayma ihtimalide yoktur. Renkli ultrason, normal ultrasonugrafi ile aynı şekilde sadece ses dalgaları ile çalışmaktadır. Bu nedenle gebeler üzerinde güvenle yapılabilecek bir tetkiktir. Renkli ultrason gebeler için gerekli mi? Bazı durumlarda anne karnındaki bebekler için ya da anne adayının damar yapısını incelemek için renkli ultrason yapılması gerekebilmektedir. Anne karnındaki bebeğin beslenmesi işlevini yerine getiren göbek kordonundaki kan akımının sağlıklı olup olmadığını belirlemek için renkli ultrasonla inceleme yapılmalıdır."
doc_0004,doc_0004_parent_002,doc_0004_parent_002_child_002,Renkli Ultrason Nedir?,https://www.memorial.com.tr/teknolojiler/renkli-ultrason-nedir,219,3,1,False,"['Renkli ultrason ile ne amaçlanmaktadır?', 'Renkli ultrason (doppler) gebeliğin kaçıncı haftasında çekilir?', 'Renkli ultrason ile hangi sorunlar görülmez?']","Anne karnındaki bebeğin beslenmesi işlevini yerine getiren göbek kordonundaki kan akımının sağlıklı olup olmadığını belirlemek için renkli ultrasonla inceleme yapılmalıdır. Aynı şekilde bebek beyin damarları ve bebek karaciğer damarları ile bebek kalp ve ana damar yapıları renkli ultrason ile kontrol edilebilmektedir. Renkli ultrason ile ne amaçlanmaktadır? - Bir arterde tıkanıklık veya pıhtı olduğu, - Daralmış kan damarlarının belirlenmesi, - Anormal kan akışı olup olmadığı. Renkli ultrason (doppler) gebeliğin kaçıncı haftasında çekilir? Gebeliğin varlığı belli olduktan sonra bebeğin gelişimi, anne ve bebek arasındaki damarsa durumu inceleyerek olası sorunlara müdahale edebilmek için renkli ultrason gebeliğin her haftasında çekilebilmektedir. Renkli ultrason ile hangi sorunlar görülmez? Yetişkin beyin damar yapıları renkli ultrasonla görülemez. Bunun için beyin tomografisi ya da beyin MR’ı çekilmesi gerekebilir."
doc_0009,doc_0009_parent_001,doc_0009_parent_001_child_004,Üretrit Nedir? Üretrit Belirtileri Nelerdir?,https://www.memorial.com.tr/saglik-rehberi/uretrit-nedir,259,4,0,False,"['Üretrit Tedavisi Nasıl Yapılır?', 'Üretrit Hakkında Sık Sorulan Sorular Üretrit ne anlama gelir?', 'Üretrit bulaşıcı mı?', 'Üretrit tehlikeli mi?']","Bu testler aracılığıyla olası bir enfeksiyonun varlığı tespit edilir ve uygun tedavi sürecine geçilir. Üretrit Tedavisi Nasıl Yapılır? Üretrit için uygulanan temel tedavi antibiyotiklerdir . Testler sonucunda üretritin varlığı kesinleşmeden önce bile doktor tarafından antibiyotik tedavi önerilebilir. Antibiyotik dışında kişinin ağrı kesici alması da önerilebilir. Bunun dışında dar kıyafetler veya kişisel bakım kaynaklı bir üretra iltihaplanması söz konusuysa daha rahat kıyafetler giyilmesi ve özellikle sabun gibi ürünler yoluyla üretranın zorlanmaması kişiye iletilir. Üretrit Hakkında Sık Sorulan Sorular Üretrit ne anlama gelir? Üretrit kısaca üretranın iltihap kapmasıdır. Üretranın vücuttaki temel görevi idrarı mesaneden vücudun dışına taşımasıdır. Üretrit bulaşıcı mı? Üretrite yol açan enfeksiyonların bulaşıcılık özelliği vardır. Bu yüzden özellikle cinsel ilişki sırasında korunmak gerekir. Üretrit tehlikeli mi? Şikayetlerle ortaya çıkan üretrit vakaları antibiyotik yoluyla tedavi edilmelidir. Tedavi edilmeyen üretrit, zamanla kronikleşip başta kısırlık olmak üzere bazı sorunlara sebep olabilir."
doc_0010,doc_0010_parent_001,doc_0010_parent_001_child_002,Potasyum Nedir? Potasyum Yüksekliği Ne Anlama Gelir?,https://www.memorial.com.tr/saglik-rehberi/potasyum-ne-ise-yarar-hangi-besinlerde-bulunur,313,3,0,False,"['Potasyum Ne İşe Yarar?', 'Potasyumun Faydaları Nelerdir?', 'Potasyum Kaç Olursa Tehlikeli Olur?']","Potasyumun eksikliği ve fazlalığı ciddi semptomlara yol açabilir. Besinler ile alınan potasyum ince bağırsaklardan emilirken, atımı böbrekler tarafından gerçekleştirilir. Yetişkinlerin günde en az 2 gram potasyum alması gerekmektedir. Potasyum Ne İşe Yarar? Potasyum vücutta sodyum ile birlikte çalışarak sıvı dengesini ve hücre içi sıvının devamlılığını sağlar. Vücutta iskelet ve kalp kası aktivitesi için potasyuma ihtiyaç duyulmaktadır. Bunun yanı sıra temel besin öğelerinden karbonhidrat ve protein metabolizmasında yer alan potasyum vücudun temel enerji kaynağı olan glikozun glikojen şeklinde depolanmasını ve protein biyosentezini sağlamaktadır. Ayrıca potasyum eletrokimyasal uyarıların iletimini sağlamakta ve kas kasılmasını düzenlemektedir. Potasyumun Faydaları Nelerdir? Yapılan çalışmalar potasyumun hipertansiyon ile kalp ve damar hastalıklarının önlenmesinde önemli bir role sahip olduğunu vurgulamaktadır. Potasyumdan zengin besinlerin tüketiminin felç riskini azaltabileceği bildirilmiştir. Ayrıca insülin direnci veya diyabeti olan kişilerde kan glikoz seviyelerinin düzenlenmesinde potasyumun olumlu etkileri mevcuttur. Potasyum Kaç Olursa Tehlikeli Olur? Kandaki potasyum seviyesinin 3.5 mEq/L- 5 mEq/L değerleri arasında olması gerekmektedir."
doc_0010,doc_0010_parent_001,doc_0010_parent_001_child_003,Potasyum Nedir? Potasyum Yüksekliği Ne Anlama Gelir?,https://www.memorial.com.tr/saglik-rehberi/potasyum-ne-ise-yarar-hangi-besinlerde-bulunur,292,4,0,False,"['Potasyum Kaç Olursa Tehlikeli Olur?', 'Potasyum Eksikliği (Hipokalemi) Nedir?', 'Potasyum Eksikliği Belirtileri Nelerdir?', 'Potasyum Eksikliği Nasıl Tedavi Edilir?']","Potasyum Kaç Olursa Tehlikeli Olur? Kandaki potasyum seviyesinin 3.5 mEq/L- 5 mEq/L değerleri arasında olması gerekmektedir. 3.5 mEq/L’nin altına düşmesine hipokalemi; 5.5 mEq/L’nin üzerinde olması ise hiperkalemi olarak adlandırılmaktadır. Potasyum yüksekliğinde 6.5 mEq/L üzeri bir potasyum yüksekliği doktor kontrolü ve tedavisi gerektirir. Potasyum Eksikliği (Hipokalemi) Nedir? Kanda potasyum seviyesinin 3.5 mEq/L’nin altına düşmesine hipokalemi denir. Kusma , ishal, diüretiklerin (idrar söktürücü ilaçlar) kullanımı ve diyabetik ketoasidoz hipokalemiye yol açabilmektedir. Ayrıca potasyum atımını sağlayan aldosteron hormonunun yüksek olması (hiperaldesteronizm) da hipokalemiye yol açmaktadır. Potasyum Eksikliği Belirtileri Nelerdir? Potasyum eksikliği kas zayıflığı ve paraliz, aritmi , iştahsızlık , bulantı ve kusmaya yol açabilmektedir. Potasyum Eksikliği Nasıl Tedavi Edilir? Hipokalemi, kişiye damar yolu ile potasyum verilerek tedavi edilir. Ayrıca beslenmenin potasyumdan zengin besinler içermesi önerilmektedir."
doc_0010,doc_0010_parent_003,doc_0010_parent_003_child_003,Potasyum Nedir? Potasyum Yüksekliği Ne Anlama Gelir?,https://www.memorial.com.tr/saglik-rehberi/potasyum-ne-ise-yarar-hangi-besinlerde-bulunur,311,6,0,False,"['Hangi hastalıklar potasyum yüksekliğine yol açar?', 'Potasyum değeri kaç olmalıdır?', 'Günlük potasyum ihtiyacı nasıl karşılanır?', 'Potasyum takviyesi almak sağlıklı mıdır?', 'Bebeklerde potasyum yüksekliği görülür mü?', 'Potasyumdan kısıtlı diyette nelere dikkat edilmelidir?']","Hangi hastalıklar potasyum yüksekliğine yol açar? Potasyum yüksekliği, kalp yetmezliği, böbrek yetmezliği, addison hastalığı ve diyabet gibi hastalıklar sebebiyle kandaki potasyum değerinin normalin üstüne çıkmasıdır. Potasyum değeri kaç olmalıdır? Kandaki potasyum seviyesinin 3.5 mEq/L-5 mEq/L değerleri arasında olması gerekmektedir. Referans değerler sağlık kuruluşları arasında bir miktar farklılık gösterebilmektedir. Günlük potasyum ihtiyacı nasıl karşılanır? Günlük potasyum ihtiyacı sebze, meyve, kurubaklagiller, kuruyemişler ve esmer undan yapılmış tahıllı ürünlerin tüketimi ile karşılanmaktadır. Yetişkinler için potasyumun günlük yeterli alım düzeyi 4.7 gramdır. Potasyum takviyesi almak sağlıklı mıdır? Potasyum eksikliği tespit edilmeden ve hekim önerisi olmadan potasyum takviyesi almak sağlıklı değildir. Bebeklerde potasyum yüksekliği görülür mü? Yenidoğan bebeklerde böbrek üstü bezlerinde aşırı büyümeye neden olan doğumsal sorunlar nedeniyle potasyum yüksekliği görülebilmektedir. Potasyumdan kısıtlı diyette nelere dikkat edilmelidir? Potasyumdan kısıtlı diyette günlük potasyum alımı günde 1500-2000 mg’ı geçmemelidir. Bu nedenle yeşil yapraklı sebzeler ve salataların tüketiminden kaçınılmalı, patates ve kurubaklagillerden mümkün olduğunca uzak durulmalıdır."
doc_0010,doc_0010_parent_004,doc_0010_parent_004_child_001,Potasyum Nedir? Potasyum Yüksekliği Ne Anlama Gelir?,https://www.memorial.com.tr/saglik-rehberi/potasyum-ne-ise-yarar-hangi-besinlerde-bulunur,209,3,0,False,"['Potasyum yüksekliği tehlikeli mi?', 'Hiperkalemi nasıl düzeltilir?', 'Hiperkalemi ve hipokalemi arasındaki fark nedir?']","Özellikle muz, erik, avokado, ıspanak, maydanoz, marul ve patates gibi besinlerden bu süreçte uzak durmak önemlidir. Potasyum yüksekliği tehlikeli mi? Potasyum değerlerinin çok yükseldiği durumlar tehlike arz edebilir. Bu tehlikelerin başında da kalp ritminin bozulmasıyla ortaya çıkabilecek kalp çarpıntısı, zamanla kalp krizi ve felç gibi durumlar gelir. Hiperkalemi nasıl düzeltilir? Hiperkalemi bir diğer adıyla potasyum yüksekliğidir ve bu yüksekliğin normale dönmesi için kandaki potasyum miktarını azaltabilecek ilaçlar reçete edilebilir. Bunun dışında potasyum içeren gıdalardan uzak durmak da potasyum değerlerini normale döndürmek için yapılması gerekenlerin başında gelir. Hiperkalemi ve hipokalemi arasındaki fark nedir? Hipokalemi kandaki potasyum seviyesinin normal değerlerin altına düşmesi durumudur. Hiperkalemi ise kandaki potasyum yüksekliğidir."
