question_number,question_type,question,threshold,top1_similarity,top1_title,top1_child_id,top1_parent_id,top1_url,decision,threshold_correct,answer,is_fallback,context_parent_count,source_parent_ids,source_titles,source_urls,embedding_seconds,search_seconds,generation_seconds,total_seconds
1,positive,Angelman sendromunun belirtileri nelerdir?,0.57,0.8157849311828613,Angelman Sendromu,doc_0001_parent_001_child_003,doc_0001_parent_001,https://www.memorial.com.tr/hastaliklar/angelman-sendromu-nedir-belirtileri-nelerdir,ACCEPT,True,"Angelman sendromunun belirtileri şunlardır:

- Gelişim geriliği (ilk aylarında kendisini belli etmeyen, 6-12 aylık dönemde gelişim geriliği ile fark edilebilir)
- Entelektüel yetersizlik
- Konuşma bozukluğu veya konuşma yokluğu
- Öğrenme güçlüğü
- Epilepsi (tekrarlayan nöbetler)
- Denge sorunları (ataksi)
- Açıktan, sarışın ve renkli gözlü olma
- Mikrosefali (baş çevresi ölçüsünün yaş ve cinsiyete göre ortalamanın altında olması)
- Tipik yüz görünümü
- Şaşılık
- Skolyoz

Bu belirtiler genellikle erken çocukluk döneminde ortaya çıkar.",False,2,doc_0001_parent_001 | doc_0001_parent_002,Angelman Sendromu | Angelman Sendromu,https://www.memorial.com.tr/hastaliklar/angelman-sendromu-nedir-belirtileri-nelerdir | https://www.memorial.com.tr/hastaliklar/angelman-sendromu-nedir-belirtileri-nelerdir,1.4873899000231177,0.16477690008468926,13.970506699988618,15.849901200039312
2,positive,Bradikardi nedir ve belirtileri nelerdir?,0.57,0.7454380393028259,Bradikardi (yavaş kalp hızı) nedir?,doc_0087_parent_001_child_002,doc_0087_parent_001,https://www.memorial.com.tr/hastaliklar/bradikardi-yavas-kalp-hizi-nedir,ACCEPT,True,"Bradikardi, kalp atış hızının normalde 60-100 seviyelerinde olması gereken düşük seviyada olmasıdır. Bradikardi belirtileri şunlardır:

- Yorgunluk veya halsizlik
- Baş dönmesi veya göz kararması
- Bilinç bulanıklığı, konfüzyon
- Bayılma (veya bayılacak gibi olma) atakları
- Nefes darlığı
- Egzersiz kapasitesinde azalma, egzersizle çabuk yorulma
- Kalp durması

Bu belirtiler, kalp hızının düşük olduğu durumlarda ortaya çıkabilir. Daha ciddi durumlarda kalp yetmezliği, ani kalp durması veya ölüme yol açabilir.",False,2,doc_0087_parent_001 | doc_0087_parent_002,Bradikardi (yavaş kalp hızı) nedir? | Bradikardi (yavaş kalp hızı) nedir?,https://www.memorial.com.tr/hastaliklar/bradikardi-yavas-kalp-hizi-nedir | https://www.memorial.com.tr/hastaliklar/bradikardi-yavas-kalp-hizi-nedir,0.6208774999249727,0.03137590002734214,12.424408999970183,13.098479700041935
3,positive,Böbrek yetmezliğinin belirtileri nelerdir?,0.57,0.7794309854507446,Böbrek Yetmezliği Nedir? Böbrek Yetmezliği Belirtileri Nelerdir?,doc_0070_parent_002_child_002,doc_0070_parent_002,https://www.memorial.com.tr/saglik-rehberi/sicak-havada-az-su-icmek-bobrekleri-yoruyor,ACCEPT,True,"Böbrek yetmezliğinin belirtileri şunlardır:

- İdrar miktarında azalma  
- Ödem (özellikle ayaklarda)  
- Aşırı yorgun hissetme  
- Mide bulantısı ve kusma  
- İştahsızlık  
- Kilo kaybı  
- İdrar görünümünde köpüklü olma gibi değişikler  
- Kas krampları  
- Ciltte kuruluk ve kaşıntı  
- Konkansiyon bozukluğu  
- Erkeklerde ereksiyon sorunları  
- Uyku sorunları  
- Göz çevresinde şişlik  
- Baş ağrısı  
- Göğüs ağrısı ve nefes darlığı  
- Kan basıncında yükselme",False,3,doc_0070_parent_002 | doc_0070_parent_001 | doc_0012_parent_001,Böbrek Yetmezliği Nedir? Böbrek Yetmezliği Belirtileri Nelerdir? | Böbrek Yetmezliği Nedir? Böbrek Yetmezliği Belirtileri Nelerdir? | Böbrekte Kist Nedir? Böbrek Kisti Belirtileri Nelerdir?,https://www.memorial.com.tr/saglik-rehberi/sicak-havada-az-su-icmek-bobrekleri-yoruyor | https://www.memorial.com.tr/saglik-rehberi/sicak-havada-az-su-icmek-bobrekleri-yoruyor | https://www.memorial.com.tr/saglik-rehberi/bobrekte-kist,0.6193079000804573,0.02570150000974536,105.0099113000324,105.68410269997548
4,positive,Migrene ne iyi gelir?,0.57,0.6057906746864319,Migrene Ne İyi Gelir? Migren Nasıl Geçer?,doc_0435_parent_001_child_002,doc_0435_parent_001,https://www.memorial.com.tr/saglik-rehberi/migrene-ne-iyi-gelir,ACCEPT,True,"Migreni tetikleyen faktörlerden uzak durmak, doktorun reçete edeceği ilaçlarda rahatlama sağlamak ve sessiz ve karanlık bir ortamda dinlenmek, soğuk ya da sıcak kompres uygulamak, nane ve lavanta yağını koklamak, stresi yönetmek, ıhlamur, papatya ya da zencefil çayı içmek, kafeinsiz kahve içmek, böğürtlen, ahududu, çilek ve yaban mersini, karpuz ve muz tüketmek, brokoli ve ipanaktan yararlanmak, uyku düzenine sahip olmak, düzenli egzersiz yapmak ve migreni takip etmek gibi yöntemler migreni iyi gelenlerdir.",False,1,doc_0435_parent_001,Migrene Ne İyi Gelir? Migren Nasıl Geçer?,https://www.memorial.com.tr/saglik-rehberi/migrene-ne-iyi-gelir,0.51762709999457,0.02955350000411272,10.370309000019915,10.939381400006823
5,positive,Hamileliğin ilk haftasında mide bulantısı olur mu?,0.57,0.7978948354721069,Gebelik Dönemindeki Şikâyetleri Önlemek İçin Pratik Öneriler,doc_0033_parent_001_child_001,doc_0033_parent_001,https://www.memorial.com.tr/saglik-rehberi/gebelik-donemindeki-sikayetleri-onlemek-icin-pratik-oneriler,ACCEPT,True,"Hamileliğin ilk haftasında mide bulantısı olabilir. Dokümanda belirtiler şöyledir: ""Hamileliğin ilk haftası hormonal değişimlere bağlı olarak mide bulantısı olabilir.""",False,3,doc_0033_parent_001 | doc_0065_parent_005 | doc_0065_parent_004,Gebelik Dönemindeki Şikâyetleri Önlemek İçin Pratik Öneriler | Hamilelik Belirtileri Nelerdir? Gebelikte İlk Belirtiler | Hamilelik Belirtileri Nelerdir? Gebelikte İlk Belirtiler,https://www.memorial.com.tr/saglik-rehberi/gebelik-donemindeki-sikayetleri-onlemek-icin-pratik-oneriler | https://www.memorial.com.tr/saglik-rehberi/gebelere-yaz-tatili-onerileri | https://www.memorial.com.tr/saglik-rehberi/gebelere-yaz-tatili-onerileri,0.617550199967809,0.011724099982529879,75.64753279997967,76.30790190002881
6,positive,Rahim iltihabı kısırlığa neden olabilir mi?,0.57,0.7194490432739258,Rahim İltihabı,doc_0439_parent_002_child_003,doc_0439_parent_002,https://www.memorial.com.tr/saglik-rehberi/rahim-iltihabi,ACCEPT,True,"Rahim iltihabı, rahim içini ve tüpleri etkileyebilir ve bu nedenle kısırlığa sebep olabilir. Dokümanda belirtiler arasında ""Kısırlık Yapar mı?"" sorusu ve yanıt bulunur.",False,2,doc_0439_parent_002 | doc_0439_parent_001,Rahim İltihabı | Rahim İltihabı,https://www.memorial.com.tr/saglik-rehberi/rahim-iltihabi | https://www.memorial.com.tr/saglik-rehberi/rahim-iltihabi,0.6736148999771103,0.04610150004737079,17.43240270006936,18.16489300003741
7,positive,Multipl miyelom kemik iliği kanseri midir?,0.57,0.7951300144195557,Multipl Miyelom nedir? Tedavi yöntemleri nelerdir?,doc_0322_parent_001_child_001,doc_0322_parent_001,https://www.memorial.com.tr/hastaliklar/multipl-miyelom-nedir,ACCEPT,True,"Multipl miyelom kemik iliği kanseri midir?  
**Cevap:** Evet, Multipl miyelom kemik iliği kanseri türüdür.",False,3,doc_0322_parent_001 | doc_0172_parent_001 | doc_0322_parent_003,Multipl Miyelom nedir? Tedavi yöntemleri nelerdir? | Miyelom Tedavisinde Umut Verici Gelişmeler | Multipl Miyelom nedir? Tedavi yöntemleri nelerdir?,https://www.memorial.com.tr/hastaliklar/multipl-miyelom-nedir | https://www.memorial.com.tr/saglik-rehberi/miyelom-tedavisinde-umut-verici-gelismeler | https://www.memorial.com.tr/hastaliklar/multipl-miyelom-nedir,0.5908160000108182,0.01720889995340258,67.34907140000723,67.98497260001022
8,positive,Egzama nedir ve en sık görülen belirtileri nelerdir?,0.57,0.777804434299469,"Egzama Nedir, Ne İyi Gelir? Egzama Nedenleri ve Belirtileri",doc_0299_parent_001_child_001,doc_0299_parent_001,https://www.memorial.com.tr/hastaliklar/egzama-nedir-egzama-nasil-gecer,ACCEPT,True,"Egzama, ciltte döküntü, cilt kuruluğu ve kaşıntıya neden olan kalıtsal ve kronik inflamatuar cilt rahatsızlığıdır. En sık görülen belirtileri, ciltte kaşıntı, döküntü, kuruluğu, şişliği ve pullanmayı içerir.",False,3,doc_0299_parent_001 | doc_0299_parent_002 | doc_0299_parent_003,"Egzama Nedir, Ne İyi Gelir? Egzama Nedenleri ve Belirtileri | Egzama Nedir, Ne İyi Gelir? Egzama Nedenleri ve Belirtileri | Egzama Nedir, Ne İyi Gelir? Egzama Nedenleri ve Belirtileri",https://www.memorial.com.tr/hastaliklar/egzama-nedir-egzama-nasil-gecer | https://www.memorial.com.tr/hastaliklar/egzama-nedir-egzama-nasil-gecer | https://www.memorial.com.tr/hastaliklar/egzama-nedir-egzama-nasil-gecer,0.674869199981913,0.009133000043220818,66.34633660002146,67.04827250004746
9,positive,Atel ne işe yarar ve hangi durumlarda kullanılır?,0.57,0.7582961320877075,Atel Nedir? Atel Neden Kullanılır ve Ne İşe Yarar?,doc_0053_parent_001_child_002,doc_0053_parent_001,https://www.memorial.com.tr/saglik-rehberi/atel-nedir,ACCEPT,True,"Atel, kırık, incinme ve burkulmalar gibi yaralanma durumlarında, yaralanan bölgeyi hareketsiz hale getirmek ve ağrıya karşı koruyucu bir destek sağlama amacıyla kullanılır. Atel, özellikle kemik kırıklarında, burkulmalar ve karpal tünel sendromu gibi durumlarda, yaralanan bölgenin hareketsiz kalması ve acısının hafiflemesi için tercih edilir. Ayrıca, yaralanan bölgeye baskı uygulanarak kanamayı durdurmak, kan dolaşımını korumak ve şok belirtilerini önlemek için de kullanılır. Atel, yaralanma sonrası etkilenen bölgenin şişmesi durumunda da tedavi olarak kullanılır.",False,2,doc_0053_parent_001 | doc_0053_parent_002,Atel Nedir? Atel Neden Kullanılır ve Ne İşe Yarar? | Atel Nedir? Atel Neden Kullanılır ve Ne İşe Yarar?,https://www.memorial.com.tr/saglik-rehberi/atel-nedir | https://www.memorial.com.tr/saglik-rehberi/atel-nedir,0.6454985999735072,0.01142160000745207,22.29885609995108,22.96653619990684
10,positive,Göz seğirmesi neden olur ve nasıl tedavi edilir?,0.57,0.8336731791496277,Göz Seğirmesi Neden Olur? Sağ ve Sol Göz Seğirmesi,doc_0253_parent_002_child_004,doc_0253_parent_002,https://www.memorial.com.tr/saglik-rehberi/goz-segirmesi-nedir-goz-segirmesi-nedenleri,ACCEPT,True,"Göz seğirmesi, genellikle uykusuzluk, göz yorgunluğu, stres, aşırı kafein tüketimi, elektrolit, vitamin ve mineral eksikliği, göz kuruluğu, sigara kullanımı ve bazı ilaçların kullanımı sonucu ortaya çıkan istemsiz kas kasılmaları ile oluşur. 

Göz seğirmesinin tedavisi, nedenlerin kontrolü ve uygun tedavi uygulanmasıyla yapılır. Hafif seyreden göz seğirmesi için şu yöntemler uygulanabilir:

- Uyku düzeni korunmalı.
- Kardiyo ve egzersiz yapılmalı.
- Gerektiğinde güneş gözlüğü kullanılmalı.
- Kafein ve alkol tüketimi sınırlanmalı.
- Etkilenen göze ılık kompres uygulanabilir.
- Göz damlası kullanılabilir.
- Uzun süreli bilgisayar, televizyon ve telefon ekranına bakılmaması önerilir.
- B ve B12 vitamini içeren besinler tüketilmeli.
- Göz seğirmesi sıklıkla arttığında doktora başvurulmalı.

Kronik ve şiddetli göz seğirmesi için miyektomi ameliyatı, göz kapağı kaslarının alınmasıyla tedavi edilebilir.",False,3,doc_0253_parent_002 | doc_0253_parent_001 | doc_0253_parent_003,Göz Seğirmesi Neden Olur? Sağ ve Sol Göz Seğirmesi | Göz Seğirmesi Neden Olur? Sağ ve Sol Göz Seğirmesi | Göz Seğirmesi Neden Olur? Sağ ve Sol Göz Seğirmesi,https://www.memorial.com.tr/saglik-rehberi/goz-segirmesi-nedir-goz-segirmesi-nedenleri | https://www.memorial.com.tr/saglik-rehberi/goz-segirmesi-nedir-goz-segirmesi-nedenleri | https://www.memorial.com.tr/saglik-rehberi/goz-segirmesi-nedir-goz-segirmesi-nedenleri,0.6382885000202805,0.0072601999854668975,91.81951940001454,92.48770689999219
