sentence1,sentence2,score
Binlerce Trabzonspor taraftarları futbolcunun gelmesini bekliyor.,Trabzonspor taraftarları efsane futbolcuyu bekliyor.,0.855342
Çocukların geleceği için 50 bin öğretmen ataması bekliyoruz.,Çocukların geleceği için öğretmenler görev başına geçmelidir.,0.710396
Ünlü oyuncu ve eşi Bodrum'da tatil yaparken görüntülendi.,Ünlü oyuncu ve eşinin tatil yaptığı görüntüler görenleri şaşırttı.,0.787526
ABD Hazine Bakanlığı İran'a yönelik yaptırımları kaldırdı.,"ABD Hazine Bakanlığı, İran bağlantılı bazı kişi ve kuruluşlara yönelik yaptırımları kaldırdı.",0.911456
Parti Genel Başkan Yardımcısı yeni yasaya ilişkin soruları yanıtladı.,Parti Genel Başkan Yardımcısı yeni kanun teklifine ilişkin konuştu.,0.884229
Bistte yükseliş başladı mı yoksa sadece tepki mi?,"Borsa İstanbul Bist 100 endeksi günü yüzde 2,07 değer kazarak kapattı.",0.326318
Üsküdar Belediyesi'nde başkanvekili seçiminde küfür ve hakaretler,Üsküdar Belediyesi'nde başkanvekili seçimi yapıldı ve seçimde gerginlik çıktı.,0.8152
Bu adam claude sayesinde binlerce dolar kazandı.,"Bir hostes, Claude kullanarak Tiktok ve Instagram'dan 12.000 dolar kazandı.",0.580055
Hatırlanan cümle çiftlerini yeniden biçimlendirmeyi düşündü,Hatırlanan cümle çiftlerini yeniden biçimlendirmeyi düşündü,1.0
Üniversite sınav sistemi yeniden düzenleneceğini duyurdu.,"YÖK, sınav sistemine dair yeni düzenleme yapacağını açıkladı.",0.76176
Milli Eğitim Bakanlığı yapay zeka dersini müfredata ekliyor.,Okullarda yapay zeka eğitimi zorunlu ders olacak.,0.771426
Üniversitede yeni burs programı öğrencilere destek sağlayacak.,Öğrencilere yönelik burs miktarı önemli ölçüde artırıldı.,0.609511
Liselerde uzaktan eğitim seçeneği kalıcı hale getirildi.,Öğrenciler artık isteğe bağlı uzaktan derslere katılabilecek.,0.78753
Devlet üniversiteleri harç ücretlerini dondurma kararı aldı.,Üniversite harçlarında bu yıl artış yapılmayacak.,0.595809
Milli takım play-off maçında rakibini mağlup etti.,"Türkiye, kritik play-off karşılaşmasından galip ayrıldı.",0.712109
Şampiyon takım teknik direktörüyle sözleşmesini yeniledi.,"Kulüp, başarılı hocasıyla anlaşmayı uzattı.",0.649073
Genç sporcu dünya rekoru kırarak tarihe geçti.,"Türk atlet, kendi branşında dünya rekoruna imza attı.",0.753869
Federasyon disiplin cezalarını sertleştirdiğini açıkladı.,Kulüplere yönelik ceza uygulamaları yeniden şekillendirildi.,0.652634
Milli takımın yeni forması tanıtım töreniyle görücüye çıktı.,"Federasyon, yeni forma tasarımını taraftarla paylaştı.",0.575536
Merkez Bankası faiz oranlarında değişikliğe gitti.,"TCMB, politika faizini beklenmedik şekilde güncelledi.",0.614102
Dolar kuru güne yükselişle başladı.,Döviz piyasasında sabah saatlerinde dolar değer kazandı.,0.720168
Enflasyon verileri beklentilerin altında açıklandı.,TÜİK'in yayımladığı enflasyon rakamı tahminleri aştı.,0.7823
Borsa İstanbul rekor seviyeye ulaştı.,BIST 100 endeksi tarihi zirvesini yeniledi.,0.596905
Büyük bir bankanın kredi faizleri düşürüldü.,Konut kredisi faiz oranlarında indirime gidildi.,0.749409
Teknoloji devi yeni yapay zeka modelini duyurdu.,"Şirket, güncellenmiş AI modelini kullanıma sundu.",0.750693
