sentence1,sentence2,score,pair_type,topic
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,İstanbul'a mevsimin ilk karı düştü.,0.110719,unrelated,saglik|hava
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,İzmir'da sıcaklık 35 dereceye ulaştı.,0.11938,unrelated,siyaset|hava
"Sivasspor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Sivasspor sezonu zirvede bitirip şampiyon oldu.,0.909458,paraphrase,spor
Teknoloji şirketi yeni akıllı telefon tanıttı.,Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,0.443491,related,teknoloji
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Borsa İstanbul günü yüzde 27 değişimle kapattı.,0.11479,unrelated,saglik|ekonomi
popüler sunucu yeni projesiyle ekranlara dönüyor.,pop yıldızı eşinden boşandığını duyurdu.,0.30541,related,magazin
"Göztepe, sahasında Eyüpspor'yi 1-2 mağlup etti.",Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.069977,unrelated,spor|saglik
"Kasımpaşa, Gaziantep FK karşısında sahadan 4-1 galip ayrıldı.",Kasımpaşa evinde Gaziantep FK'yi 4-1'lik skorla yendi.,0.90637,paraphrase,spor
İtalya'de meydana gelen depremde maddi hasar oluştu.,Fransa'de meydana gelen depremde maddi hasar oluştu.,0.774438,related,dunya
Merkez Bankası politika faizini sabit tuttu.,Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.201607,unrelated,ekonomi|siyaset
"Konyaspor, Başakşehir karşısında sahadan 1-0 galip ayrıldı.",Konyaspor evinde Başakşehir'yi 1-0'lik skorla yendi.,0.91102,paraphrase,spor
Çin iklim zirvesine ev sahipliği yapıyor.,Meteoroloji Trabzon için kuvvetli yağış uyarısı yaptı.,0.328613,unrelated,dunya|hava
Genç oyuncu sevgilisiyle nişanlandı.,Genç oyuncu mutlu haberi nişan yüzükleriyle duyurdu.,0.704102,paraphrase,magazin
Teknoloji şirketi yeni elektrikli otomobil tanıttı.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.633588,related,teknoloji
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,İtalya'de yapılan seçimleri muhalefet kazandı.,0.209554,unrelated,saglik|dunya
Sakarya'da sıcaklık 32 dereceye ulaştı.,Fransa'de yapılan seçimleri muhalefet kazandı.,0.103481,unrelated,hava|dunya
ABD iklim zirvesine ev sahipliği yapıyor.,İngiltere'de yapılan seçimleri muhalefet kazandı.,0.088266,related,dunya
Çin'de yapılan seçimleri muhalefet kazandı.,Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,0.167788,unrelated,dunya|teknoloji
Meteoroloji Mersin için kuvvetli yağış uyarısı yaptı.,Ankara'a mevsimin ilk karı düştü.,0.201309,related,hava
